date,usd_per_oz,usd_per_gram,vnd_per_gram,vnd_per_tael
2025-01-27,2739.38,88.07,2297925,86172195
2025-01-28,2764.87,88.89,2319308,86974037
2025-01-29,2755.32,88.59,2311297,86673623
2025-01-30,2793.54,89.81,2343357,87875902
2025-01-31,2796.33,89.90,2345698,87963668
2025-02-01,2798.52,89.97,2347535,88032556
2025-02-03,2818.37,90.61,2364186,88656977
2025-02-04,2843.10,91.41,2384931,89434904
2025-02-05,2863.67,92.07,2402186,90081965
2025-02-06,2854.05,91.76,2394116,89779355
2025-02-07,2860.29,91.96,2399351,89975645
2025-02-08,2860.87,91.98,2399837,89993892
2025-02-10,2904.42,93.38,2436369,91363831
2025-02-11,2900.29,93.25,2432904,91233918
2025-02-12,2897.93,93.17,2430925,91159676
2025-02-13,2926.97,94.10,2455285,92073184
2025-02-14,2880.76,92.62,2416522,90619565
2025-02-15,2882.54,92.68,2418015,90675559
2025-02-17,2898.40,93.19,2431319,91174460
2025-02-18,2935.85,94.39,2462734,92352525
2025-02-19,2931.84,94.26,2459370,92226382
2025-02-20,2937.98,94.46,2464521,92419524
2025-02-21,2933.52,94.31,2460779,92279228
2025-02-22,2936.08,94.40,2462927,92359759
2025-02-24,2949.38,94.82,2474083,92778129
2025-02-25,2912.19,93.63,2442887,91608251
2025-02-26,2913.98,93.69,2444388,91664560
2025-02-27,2879.27,92.57,2415272,90572695
2025-02-28,2849.79,91.62,2390543,89645348
2025-03-01,2857.45,91.87,2396968,89886305
2025-03-03,2881.70,92.65,2417310,90649133
2025-03-04,2916.22,93.76,2446267,91735023
2025-03-05,2920.63,93.90,2449967,91873745
2025-03-06,2914.08,93.69,2444472,91667709
2025-03-07,2905.46,93.41,2437241,91396547
2025-03-08,2909.44,93.54,2440580,91521745
2025-03-10,2885.37,92.77,2420389,90764585
2025-03-11,2918.49,93.83,2448171,91806431
2025-03-12,2931.38,94.25,2458984,92211906
2025-03-13,2982.98,95.90,2502269,93835081
2025-03-14,2984.02,95.94,2503141,93867797
2025-03-15,2985.04,95.97,2503997,93899884
2025-03-17,3000.37,96.46,2516857,94382120
2025-03-18,3035.52,97.59,2546342,95487824
2025-03-19,3047.88,97.99,2556710,95876626
2025-03-20,3044.82,97.89,2554143,95780374
2025-03-21,3019.95,97.09,2533281,94998039
2025-03-22,3023.85,97.22,2536553,95120725
2025-03-24,3006.19,96.65,2521738,94565193
2025-03-25,3019.64,97.08,2533021,94988285
2025-03-26,3017.21,97.01,2530983,94911848
