date,usd_per_oz,usd_per_gram,vnd_per_gram,vnd_per_tael
2012-05-21,1592.65,51.20,1335992,50099714
2012-05-22,1568.95,50.44,1316112,49354185
2012-05-23,1562.00,50.22,1310282,49135562
2012-05-24,1559.00,50.12,1307765,49041191
2012-05-25,1573.45,50.59,1319886,49495741
2012-05-28,1573.33,50.58,1319786,49491966
2012-05-29,1555.75,50.02,1305039,48938956
2012-05-30,1562.45,50.23,1310659,49149716
2012-05-31,1560.70,50.18,1309191,49094666
2012-06-01,1626.25,52.29,1364178,51156663
2012-06-04,1618.40,52.03,1357593,50909727
2012-06-05,1617.10,51.99,1356502,50868832
2012-06-06,1620.40,52.10,1359270,50972641
2012-06-07,1589.00,51.09,1332931,49984896
2012-06-08,1594.45,51.26,1337502,50156334
2012-06-11,1596.45,51.33,1339180,50219248
2012-06-12,1610.05,51.76,1350588,50647064
2012-06-13,1618.35,52.03,1357551,50908153
2012-06-14,1623.32,52.19,1361720,51064493
2012-06-15,1626.76,52.30,1364605,51172706
2012-06-18,1628.40,52.35,1365981,51224295
2012-06-19,1618.07,52.02,1357316,50899344
2012-06-20,1605.90,51.63,1347107,50516517
2012-06-21,1565.30,50.33,1313050,49239371
2012-06-22,1572.15,50.55,1318796,49454849
2012-06-25,1584.60,50.95,1329240,49846485
2012-06-26,1572.15,50.55,1318796,49454849
2012-06-27,1574.30,50.61,1320600,49522482
2012-06-28,1551.90,49.89,1301809,48817848
2012-06-29,1598.60,51.40,1340983,50286881
2012-07-02,1596.35,51.32,1339096,50216103
2012-07-03,1616.65,51.98,1356125,50854678
2012-07-04,1615.63,51.94,1355269,50822591
2012-07-05,1604.75,51.59,1346142,50480341
2012-07-06,1582.90,50.89,1327814,49793010
2012-07-09,1587.15,51.03,1331379,49926701
2012-07-10,1566.50,50.36,1314056,49277117
2012-07-11,1576.90,50.70,1322781,49604269
2012-07-12,1572.40,50.55,1319006,49462713
2012-07-13,1589.05,51.09,1332973,49986470
2012-07-16,1589.35,51.10,1333224,49995905
2012-07-17,1582.75,50.89,1327688,49788291
2012-07-18,1573.80,50.60,1320180,49506754
2012-07-19,1582.05,50.86,1327101,49766272
2012-07-20,1583.63,50.91,1328426,49815973
2012-07-23,1576.90,50.70,1322781,49604269
2012-07-24,1580.50,50.81,1325800,49717513
2012-07-25,1605.38,51.61,1346671,50500159
2012-07-26,1616.20,51.96,1355747,50840520
2012-07-27,1623.28,52.19,1361686,51063237
2012-07-30,1621.10,52.12,1359858,50994659
2012-07-31,1613.90,51.89,1353818,50768171
2012-08-01,1599.20,51.42,1341487,50305754
2012-08-02,1590.35,51.13,1334063,50027362
2012-08-03,1604.30,51.58,1345765,50466187
2012-08-06,1611.00,51.79,1351385,50676946
2012-08-07,1611.18,51.80,1351536,50682610
2012-08-08,1611.90,51.82,1352140,50705258
2012-08-09,1617.70,52.01,1357005,50887705
2012-08-10,1620.05,52.09,1358977,50961632
2012-08-13,1610.15,51.77,1350672,50650208
2012-08-14,1598.65,51.40,1341025,50288455
2012-08-15,1603.38,51.55,1344993,50437245
2012-08-16,1614.80,51.92,1354573,50796484
2012-08-17,1615.80,51.95,1355412,50827940
2012-08-20,1620.70,52.11,1359522,50982076
2012-08-21,1638.50,52.68,1374454,51542009
2012-08-22,1654.00,53.18,1387456,52029590
2012-08-23,1670.65,53.71,1401423,52553346
2012-08-24,1670.35,53.70,1401171,52543908
2012-08-27,1664.10,53.50,1395928,52347303
2012-08-28,1667.03,53.60,1398386,52439473
2012-08-29,1656.55,53.26,1389595,52109806
2012-08-30,1656.15,53.25,1389259,52097222
2012-08-31,1691.15,54.37,1418619,53198211
2012-09-03,1692.40,54.41,1419668,53237532
2012-09-04,1696.40,54.54,1423023,53363360
2012-09-05,1693.65,54.45,1420716,53276853
2012-09-06,1701.65,54.71,1427427,53528508
2012-09-07,1736.50,55.83,1456661,54624778
2012-09-10,1725.80,55.49,1447685,54288191
