date,usd_per_oz,usd_per_gram,vnd_per_gram,vnd_per_tael
2016-02-01,1128.85,36.29,946934,35510037
2016-02-02,1129.12,36.30,947161,35518531
2016-02-03,1142.93,36.75,958745,35952951
2016-02-04,1155.74,37.16,969491,36355911
2016-02-05,1173.69,37.73,984548,36920560
2016-02-08,1191.14,38.30,999186,37469484
2016-02-09,1188.85,38.22,997265,37397446
2016-02-10,1197.49,38.50,1004513,37669234
2016-02-11,1246.89,40.09,1045952,39223202
2016-02-12,1238.05,39.80,1038537,38945124
2016-02-15,1209.95,38.90,1014965,38061185
2016-02-16,1200.35,38.59,1006912,37759200
2016-02-17,1209.14,38.87,1014286,38035706
2016-02-18,1232.35,39.62,1033755,38765818
2016-02-19,1228.19,39.49,1030266,38634957
2016-02-22,1208.74,38.86,1013950,38023123
2016-02-23,1227.46,39.46,1029653,38611994
2016-02-24,1229.35,39.52,1031239,38671448
2016-02-25,1234.64,39.69,1035676,38837855
2016-02-26,1222.60,39.31,1025576,38459114
2016-02-29,1238.14,39.81,1038612,38947954
2016-03-01,1232.26,39.62,1033680,38762988
2016-03-02,1240.30,39.88,1040424,39015902
2016-03-03,1263.69,40.63,1060045,39751674
2016-03-04,1259.44,40.49,1056480,39617983
2016-03-07,1267.39,40.75,1063148,39868067
2016-03-08,1261.10,40.55,1057872,39670202
2016-03-09,1252.94,40.28,1051027,39413513
2016-03-10,1271.44,40.88,1066546,39995464
2016-03-11,1248.44,40.14,1047252,39271957
2016-03-14,1235.28,39.72,1036213,38857988
2016-03-15,1232.38,39.62,1033780,38766763
2016-03-16,1263.08,40.61,1059533,39732486
2016-03-17,1257.90,40.44,1055188,39569542
2016-03-18,1255.30,40.36,1053007,39487755
2016-03-21,1243.74,39.99,1043310,39124112
2016-03-22,1248.38,40.14,1047202,39270072
2016-03-23,1220.17,39.23,1023538,38382676
2016-03-24,1216.99,39.13,1020870,38282642
2016-03-25,1216.47,39.11,1020434,38266284
2016-03-28,1221.05,39.26,1024276,38410358
2016-03-29,1242.55,39.95,1042311,39086680
2016-03-30,1224.85,39.38,1027464,38529892
2016-03-31,1232.70,39.63,1034049,38776827
2016-04-01,1222.49,39.30,1025484,38455654
2016-04-04,1215.40,39.08,1019537,38232626
2016-04-05,1231.14,39.58,1032740,38727757
2016-04-06,1222.35,39.30,1025367,38451250
2016-04-07,1240.69,39.89,1040751,39028167
2016-04-08,1240.39,39.88,1040500,39018732
2016-04-11,1257.95,40.44,1055230,39571112
2016-04-12,1255.94,40.38,1053544,39507884
2016-04-13,1243.14,39.97,1042806,39105238
2016-04-14,1227.39,39.46,1029594,38609793
2016-04-15,1234.05,39.68,1035181,38819297
2016-04-18,1231.55,39.60,1033084,38740655
2016-04-19,1250.50,40.20,1048980,39336760
2016-04-20,1244.05,40.00,1043570,39133865
2016-04-21,1248.85,40.15,1047596,39284856
2016-04-22,1232.30,39.62,1033713,38764248
2016-04-25,1237.90,39.80,1038411,38940405
2016-04-26,1243.44,39.98,1043058,39114673
2016-04-27,1246.10,40.06,1045289,39198350
2016-04-28,1266.48,40.72,1062385,39839440
2016-04-29,1293.74,41.59,1085252,40696953
2016-05-02,1291.60,41.53,1083457,40629635
2016-05-03,1286.00,41.35,1078759,40453478
2016-05-04,1279.49,41.14,1073298,40248693
2016-05-05,1278.05,41.09,1072091,40203397
2016-05-06,1288.70,41.43,1081024,40538410
2016-05-09,1263.85,40.63,1060179,39756708
2016-05-10,1266.40,40.72,1062318,39836925
2016-05-11,1277.69,41.08,1071789,40192070
2016-05-12,1263.49,40.62,1059877,39745384
2016-05-13,1273.60,40.95,1068358,40063412
2016-05-16,1273.86,40.96,1068576,40071592
2016-05-17,1280.00,41.15,1073726,40264737
2016-05-18,1258.30,40.46,1055523,39582125
2016-05-19,1255.10,40.35,1052839,39481461
2016-05-20,1252.30,40.26,1050490,39393384
2016-05-23,1249.24,40.16,1047923,39297124
2016-05-24,1227.00,39.45,1029267,38597525
2016-05-25,1224.18,39.36,1026902,38508818
2016-05-26,1220.15,39.23,1023521,38382046
2016-05-27,1212.40,38.98,1017020,38138256
2016-05-30,1205.58,38.76,1011299,37923719
2016-05-31,1215.24,39.07,1019402,38227592
2016-06-01,1213.35,39.01,1017817,38168139
2016-06-02,1210.95,38.93,1015804,38092641
2016-06-03,1244.49,40.01,1043939,39147705
2016-06-06,1245.24,40.04,1044568,39171297
2016-06-07,1243.85,39.99,1043402,39127572
2016-06-08,1262.14,40.58,1058744,39702918
2016-06-09,1269.15,40.80,1064625,39923431
2016-06-10,1274.20,40.97,1068861,40082286
2016-06-13,1284.05,41.28,1077124,40392138
2016-06-14,1285.85,41.34,1078634,40448759
2016-06-15,1291.49,41.52,1083365,40626175
2016-06-16,1279.14,41.13,1073005,40237684
2016-06-17,1298.60,41.75,1089329,40849833
2016-06-20,1290.15,41.48,1082241,40584024
2016-06-21,1268.44,40.78,1064029,39901094
2016-06-22,1266.31,40.71,1062243,39834095
2016-06-23,1255.65,40.37,1053300,39498764
2016-06-24,1315.98,42.31,1103908,41396553
2016-06-27,1324.80,42.59,1111307,41674004
2016-06-28,1312.51,42.20,1100997,41287398
2016-06-29,1318.89,42.40,1106349,41488093
2016-06-30,1322.18,42.51,1109109,41591587
2016-07-01,1342.30,43.16,1125987,42224499
2016-07-04,1350.78,43.43,1133100,42491252
2016-07-05,1356.14,43.60,1137596,42659860
2016-07-06,1363.89,43.85,1144097,42903650
2016-07-07,1360.60,43.74,1141338,42800156
2016-07-08,1366.80,43.94,1146538,42995191
2016-07-11,1355.25,43.57,1136850,42631863
2016-07-12,1331.65,42.81,1117053,41889482
2016-07-13,1342.85,43.17,1126448,42241798
2016-07-14,1335.10,42.92,1119947,41998007
2016-07-15,1337.85,43.01,1122254,42084513
2016-07-18,1328.79,42.72,1114654,41799517
2016-07-19,1332.13,42.83,1117455,41904581
2016-07-20,1315.95,42.31,1103883,41395608
2016-07-21,1331.09,42.80,1116583,41871865
2016-07-22,1322.38,42.52,1109277,41597877
2016-07-25,1315.56,42.30,1103556,41383343
2016-07-26,1320.32,42.45,1107549,41533074
2016-07-27,1339.86,43.08,1123940,42147742
2016-07-28,1335.79,42.95,1120526,42019714
2016-07-29,1350.91,43.43,1133209,42495341
2016-08-01,1353.21,43.51,1135138,42567690
2016-08-02,1363.68,43.84,1143921,42897046
2016-08-03,1357.90,43.66,1139073,42715224
2016-08-04,1361.20,43.76,1141841,42819029
2016-08-05,1335.80,42.95,1120534,42020029
2016-08-08,1335.38,42.93,1120182,42006816
2016-08-09,1340.75,43.11,1124686,42175739
2016-08-10,1346.67,43.30,1129652,42361965
2016-08-11,1338.87,43.05,1123109,42116600
2016-08-12,1336.19,42.96,1120861,42032294
2016-08-15,1339.36,43.06,1123520,42132014
2016-08-16,1346.08,43.28,1129157,42343402
